Year,Production,Per capita consumption (kg/yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,"3,555",3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"4,238",3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"4,246",4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"4,356",4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"4,314",3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,"4,105",4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"6,911",4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"14,276",4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"21,646",4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
