Year,Production,Per capita consumption (kg/yr)
2000,1517943.00,3.03
2001,1584516.00,3.04
2002,1667763.00,3.19
2003,1733087.00,3.28
2004,1709404.00,3.21
2005,1771282.00,3.23
2006,1836136.00,3.35
2007,1886004.00,3.50
2008,1855726.00,3.51
2009,1877339.00,3.49
2010,1898158.00,3.85
2011,1940347.00,3.80
2012,1973617.00,3.56
2013,2012173.00,3.73
2014,2032303.00,4.23
2015,2120333.00,4.33
2016,2231660.00,4.50
2017,2265015.00,4.78
2018,2319764.00,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
