YEAR,YIELD
1990,3.5578333333333
1991,3.4896666666667
1992,3.7315
1993,3.6912903225806
1994,3.6690476190476
1995,3.733064516129
1996,3.733064516129
1997,2.3608
1998,2.5833333333333
1999,3.0625
2000,2.5368421052632
2001,2.5686170212766
2002,3.34
2003,3.3533684210526
2004,3.1493137254902
2005,3.2004854368932
2006,3.2339805825243
2007,4.6183962264151
2008,5.2067889908257
2009,5.1651304347826
2010,5.2287804878049
2011,5.3051162790698
2012,5.395223880597
2013,5.5609558823529
2014,5.8104411764706
2015,5.9071014492754
2016,5.9366666666667
2017,6.0432608695652
2018,6.1959420289855
