"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"10",8883,7027.60985823429,10738.3901417657,6045.42564645761,11720.5743535424
"11",8883,6259.08209802159,11506.9179019784,4870.06386497829,12895.9361350217
"12",8883,5669.37000659937,12096.6299934006,3968.17704941017,13797.8229505898
"13",8883,5172.21971646858,12593.7802835314,3207.85129291522,14558.1487070848
"14",8883,4734.2215182289,13031.7784817711,2537.9908542692,15228.0091457308
"15",8883,4338.24087888387,13427.7591211161,1932.39072661331,15833.6092733867
"16",8883,3974.09909988706,13791.9009001129,1375.48393387197,16390.516066128
"17",8883,3635.16419604319,14130.8358039568,857.127729956576,16908.8722700434
"18",8883,3316.82957470287,14449.1704252971,370.276939372838,17395.7230606272
"19",8883,3015.74120379765,14750.2587962023,-90.1979872738211,17856.1979872738
"20",8883,2729.36706003883,15036.6329399612,-528.16944543538,18294.1694454354
"21",8883,2455.74001319874,15310.2599868013,-946.645901179654,18712.6459011797
"22",8883,2193.29570787333,15572.7042921267,-1348.01982963866,19114.0198296387
"23",8883,1940.76577071478,15825.2342292852,-1734.23104045216,19500.2310404522
"24",8883,1697.10488022399,16068.895119776,-2106.87821489494,19872.8782148949
"25",8883,1461.43943293716,16304.5605670628,-2467.29741416955,20233.2974141696
"26",8883,1233.03046877025,16532.9695312297,-2816.61878019901,20582.618780199
"27",8883,1011.24629406478,16754.7537059352,-3155.80840506514,20921.8084050651
"28",8883,795.541871201668,16970.4581287983,-3485.69985187402,21251.699851874
"29",8883,585.443036457804,17180.5569635422,-3807.0182914616,21573.0182914616
"30",8883,380.534231683789,17385.4657683162,-4120.39926517337,21886.3992651734
"31",8883,180.448838441089,17585.5511615589,-4426.40346752599,22192.403467526
