Year, Production , Area harvested , Yield , Per capita consumption (kg/yr) 
1987," 175,271 "," 53,960 ", 3.25 ,
1988," 185,267 "," 52,830 ", 3.51 ,
1989," 264,547 "," 76,450 ", 3.46 ,
1990," 251,632 "," 71,490 ", 3.52 , 92.53 
1991," 264,035 "," 86,300 ", 3.06 , 83.71 
1992," 228,921 "," 77,510 ", 2.95 , 87.13 
1993," 277,569 "," 80,130 ", 3.46 , 88.52 
1994," 294,744 "," 79,140 ", 3.72 , 86.49 
1995," 278,992 "," 72,132 ", 3.87 , 92.55 
1996," 229,758 "," 67,584 ", 3.40 , 98.73 
1997," 198,973 "," 58,874 ", 3.38 , 97.05 
1998," 211,166 "," 59,749 ", 3.53 , 91.91 
1999," 254,571 "," 68,864 ", 3.70 , 99.68 
2000," 255,820 "," 70,510 ", 3.63 , 103.16 
2001," 240,690 "," 67,289 ", 3.58 , 103.77 
2002," 252,983 "," 66,397 ", 3.81 , 108.03 
2003," 227,957 "," 61,692 ", 3.70 , 107.02 
2004," 216,842 "," 60,339 ", 3.59 , 116.09 
2005," 228,871 "," 61,303 ", 3.73 , 118.80 
2006," 239,529 "," 62,696 ", 3.82 , 118.70 
2007," 266,598 "," 67,398 ", 3.96 , 126.26 
2008," 297,296 "," 72,934 ", 4.08 , 128.10 
2009," 330,541 "," 81,708 ", 4.05 , 121.51 
2010," 336,512 "," 80,561 ", 4.18 , 113.82 
2011," 353,487 "," 87,435 ", 4.04 , 116.46 
2012," 373,221 "," 88,975 ", 4.19 , 118.87 
2013," 400,491 "," 92,574 ", 4.33 , 115.63 
2014," 426,641 "," 94,175 ", 4.53 , 114.35 
2015," 436,575 "," 96,661 ", 4.52 , 111.62 
2016," 425,116 "," 94,028 ", 4.52 , 107.83 
2017," 457,102 "," 98,102 ", 4.66 , 118.25 
2018," 470,174 "," 98,499 ", 4.77 ,
